Feat ID,RT,DT,CCS,Gas,mz,Abundance,Charge,Polarity,Lipid Class,Compound Name,CAS ID,Formula,Mass,Ion Species,Theo mz,ppm Error,Abs ppm Error,Score,Sum Comp,Num Constit,Constit,Constit Abund
97,10.190,,,,599.5283,212827,-1,Negative,,,,,600.5356,(M-H)-,,,,,,
98,6.791,,,,747.5177,209366,-1,Negative,Phosphatidylglycerol,PG 16:0_18:1,,C40H77O10P,748.5254,(M-H)-,747.5182,-0.6,0.6,70.20,PG 34:1,1,PG 16:0/18:1,100.0
99,10.485,,,,683.5939,209237,-1,Negative,,,,,684.6011,(M-H)-,,,,,,
100,7.678,,,,838.5599,209054,-1,Negative,Phosphatidylserine,PS 18:0_22:4,,C46H82NO10P,839.5676,(M-H)-,838.5604,-0.6,0.6,76.62,PS 40:4,1,PS 18:0/22:4,100.0
101,9.384,,,,768.5545,208755,-1,Negative,Phosphatidylethanolamine,PE 18:0_20:3,,C43H80NO8P,769.5622,(M-H)-,768.5549,-0.5,0.5,90.14,PE 38:3,1,PE 18:0/20:3,100.0
102,9.006,,,,792.5544,203779,-1,Negative,Phosphatidylethanolamine,PE 18:0_22:5,,C45H80NO8P,793.5622,(M-H)-,792.5549,-0.6,0.6,89.20,PE 40:5,3,PE 18:0/22:5,71.8
103,1.321,,,,219.1026,203033,-1,Negative,,,,,220.1099,(M-H)-,,,,,,
104,6.992,,,,836.5443,202608,-1,Negative,Phosphatidylserine,PS 18:0_22:5,,C46H80NO10P,837.5520,(M-H)-,836.5447,-0.5,0.5,84.48,PS 40:5,2,PS 18:0/22:5,68.0
105,5.947,,,,745.5497,201773,-1,Negative,Sphingomyelin,SM d34:2,,C39H77N2O6P,700.5519,(M+CHO2)-,745.5501,-0.6,0.6,98.28,SM d34:2,20,,
106,2.811,,,,540.3303,201560,-1,Negative,Lysophophatidylcholine,LPC 16:0/0:0,,C24H50NO7P,495.3325,(M+CHO2)-,540.3307,-0.6,0.6,98.13,LPC 16:0,1,LPC 16:0,100.0
107,7.157,,,,773.5334,199978,-1,Negative,,,,,774.5407,(M-H)-,,,,,,
108,4.161,,,,511.4728,197550,-1,Negative,,,,,512.4801,(M-H)-,,,,,,
109,12.740,,,,112.9857,196294,-1,Negative,,,,,113.9929,(M-H)-,,,,,,
110,6.638,,,,760.5129,195730,-1,Negative,Phosphatidylserine,PS 16:0_18:1,,C40H76NO10P,761.5207,(M-H)-,760.5134,-0.7,0.7,84.05,PS 34:1,4,PS 16:0/18:1,43.5
111,0.720,,,,242.1760,195380,-1,Negative,,,,,243.1833,(M-H)-,,,,,,
112,8.203,,,,772.5281,195307,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:2e_22:6,,C45H76NO7P,773.5359,(M-H)-,772.5287,-0.8,0.8,96.26,EtherPE 40:8e,1,EtherPE 18:2e/22:6,100.0
113,9.928,,,,778.5751,194981,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:0e_22:5,,C45H82NO7P,779.5829,(M-H)-,778.5756,-0.7,0.7,93.48,EtherPE 40:5e,2,EtherPE 18:0e/22:5,80.6
114,4.010,,,,464.3144,192927,-1,Negative,,,,,465.3217,(M-H)-,,,,,,
115,10.240,,,,854.6721,192722,-1,Negative,Hexosylceramide non-hydroxyfatty acid-sphingosine,HexCer_NS d42:2,,C48H91NO8,809.6745,(M+CHO2)-,854.6727,-0.7,0.7,94.29,HexCer_NS d42:2,33,,
116,7.457,,,,852.5756,191587,-1,Negative,Phosphatidylcholine,PC 18:1_20:4,,C46H82NO8P,807.5778,(M+CHO2)-,852.5760,-0.4,0.4,96.87,PC 38:5,4,PC 18:1/20:4,49.5
117,5.645,,,,819.5177,188659,-1,Negative,Phosphatidylglycerol,PG 18:1_22:6,,C46H77O10P,820.5254,(M-H)-,819.5182,-0.6,0.6,89.81,PG 40:7,4,PG 18:1/22:6,54.3
118,10.277,,,,845.6740,187078,-1,Negative,Sphingomyelin,SM d41:1,,C46H93N2O6P,800.6771,(M+CHO2)-,845.6753,-1.6,1.6,81.88,SM d41:1,31,,
119,10.289,,,,638.5724,186442,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d18:1_20:0,,C38H75NO3,593.5747,(M+CHO2)-,638.5729,-0.8,0.8,95.27,Cer_NS d38:1,3,Cer_NS d18:1/20:0,59.5
120,3.761,,,,564.3439,186200,-1,Negative,,,,,565.3512,(M-H)-,,,,,,
121,3.784,,,,303.2328,185355,-1,Negative,,,,,304.2401,(M-H)-,,,,,,
122,5.754,,,,719.5341,183294,-1,Negative,Sphingomyelin,SM d32:1,,C37H75N2O6P,674.5363,(M+CHO2)-,719.5345,-0.6,0.6,95.15,SM d32:1,13,,
123,8.768,,,,572.4811,181994,-1,Negative,,,,,573.4884,(M-H)-,,,,,,
124,10.501,,,,682.5906,181146,-1,Negative,,,,,683.5978,(M-H)-,,,,,,
125,10.144,,,,728.5595,179767,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_18:1,,C41H80NO7P,729.5672,(M-H)-,728.5600,-0.6,0.6,94.01,EtherPE 36:2e,1,EtherPE 18:1e/18:1,100.0
126,9.791,,,,768.5543,177980,-1,Negative,Phosphatidylethanolamine,PE 18:0_20:3,,C43H80NO8P,769.5622,(M-H)-,768.5549,-0.7,0.7,92.74,PE 38:3,1,PE 18:0/20:3,100.0
127,2.614,,,,1072.6925,177956,-1,Negative,,,,,1073.6998,(M-H)-,,,,,,
128,10.023,,,,752.5595,176005,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_22:3,,C43H80NO7P,753.5672,(M-H)-,752.5600,-0.6,0.6,95.24,EtherPE 38:4e,2,EtherPE 16:1e/22:3,69.2
129,9.408,,,,752.5595,174888,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:0e_22:4,,C43H80NO7P,753.5672,(M-H)-,752.5600,-0.6,0.6,96.87,EtherPE 38:4e,1,EtherPE 16:0e/22:4,100.0
130,7.569,,,,736.5492,174826,-1,Negative,Ether-linked phosphatidylcholine,EtherPC 16:0e_14:0,,C38H78NO7P,691.5516,(M+CHO2)-,736.5498,-0.8,0.8,94.54,EtherPC 30:0e,2,EtherPC 16:0e/14:0,61.3
131,10.113,,,,778.5751,174097,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_22:4,,C45H82NO7P,779.5829,(M-H)-,778.5756,-0.7,0.7,89.48,EtherPE 40:5e,4,EtherPE 18:1e/22:4,63.8
132,4.922,,,,451.2913,172940,-1,Negative,,,,,452.2986,(M-H)-,,,,,,
133,2.992,,,,566.3459,172924,-1,Negative,Lysophophatidylcholine,LPC 18:1/0:0,,C26H52NO7P,521.3481,(M+CHO2)-,566.3463,-0.7,0.7,98.43,LPC 18:1,1,LPC 18:1,100.0
134,10.510,,,,680.6214,172620,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d41:1,,C41H81NO3,635.6216,(M+CHO2)-,680.6198,2.3,2.3,91.47,Cer_NS d41:1,3,,
135,3.773,,,,480.3093,172603,-1,Negative,Lysophosphatidylethanolamine,LPE 18:0,,C23H48NO7P,481.3168,(M-H)-,480.3096,-0.5,0.5,98.20,LPE 18:0,1,LPE 18:0,100.0
136,10.160,,,,780.5905,171601,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:0e_22:4,,C45H84NO7P,781.5985,(M-H)-,780.5913,-0.9,0.9,93.79,EtherPE 40:4e,2,EtherPE 18:0e/22:4,79.3
137,1.577,,,,421.1550,169827,-1,Negative,,,,,422.1622,(M-H)-,,,,,,
138,4.702,,,,485.3269,167425,-1,Negative,,,,,486.3342,(M-H)-,,,,,,
139,7.184,,,,775.5459,167140,-1,Negative,,,,,776.5532,(M-H)-,,,,,,
140,7.816,,,,762.5649,164901,-1,Negative,Ether-linked phosphatidylcholine,EtherPC 16:0e_16:1,,C40H80NO7P,717.5672,(M+CHO2)-,762.5654,-0.7,0.7,93.56,EtherPC 32:1e,4,EtherPC 16:0e/16:1,51.6
141,6.316,,,,885.5490,163864,-1,Negative,Phosphatidylinositol,PI 18:1_20:3,,C47H83O13P,886.5571,(M-H)-,885.5499,-1.0,1.0,97.57,PI 38:4,1,PI 18:1/20:3,100.0
142,5.765,,,,795.5176,163321,-1,Negative,Phosphatidylglycerol,PG 18:1_20:4,,C44H77O10P,796.5254,(M-H)-,795.5182,-0.7,0.7,95.99,PG 38:5,4,PG 18:1/20:4,70.9
143,2.963,,,,540.3303,162903,-1,Negative,Lysophophatidylcholine,LPC 16:0/0:0,,C24H50NO7P,495.3325,(M+CHO2)-,540.3307,-0.7,0.7,96.83,LPC 16:0,1,LPC 16:0,100.0
144,10.026,,,,776.5595,162282,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_22:5,,C45H80NO7P,777.5672,(M-H)-,776.5600,-0.6,0.6,89.60,EtherPE 40:6e,1,EtherPE 18:1e/22:5,100.0
145,7.258,,,,826.5602,161214,-1,Negative,Phosphatidylcholine,PC 16:0_20:4,,C44H80NO8P,781.5622,(M+CHO2)-,826.5604,-0.2,0.2,95.86,PC 36:4,6,PC 16:0/20:4,63.1
146,9.806,,,,752.5594,160671,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:0e_20:4,,C43H80NO7P,753.5672,(M-H)-,752.5600,-0.7,0.7,96.99,EtherPE 38:4e,4,EtherPE 18:0e/20:4,57.7
147,9.472,,,,598.5160,159684,-1,Negative,,,,,599.5233,(M-H)-,,,,,,
148,10.330,,,,681.5782,155902,-1,Negative,,,,,682.5854,(M-H)-,,,,,,
149,7.139,,,,749.5808,152345,-1,Negative,Sphingomyelin,SM d34:0,,C39H81N2O6P,704.5832,(M+CHO2)-,749.5814,-0.9,0.9,97.99,SM d34:0,9,,
150,7.404,,,,762.5074,151599,-1,Negative,Phosphatidylethanolamine,PE 16:0_22:6,,C43H74NO8P,763.5152,(M-H)-,762.5079,-0.7,0.7,86.90,PE 38:6,2,PE 16:0/22:6,77.7
151,4.922,,,,351.2515,151484,-1,Negative,,,,,352.2588,(M-H)-,,,,,,
152,3.407,,,,436.2830,151479,-1,Negative,,,,,437.2903,(M-H)-,,,,,,
153,5.301,,,,451.2914,151306,-1,Negative,,,,,452.2987,(M-H)-,,,,,,
