Feat ID,RT,DT,CCS,Gas,mz,Abundance,Charge,Polarity,Lipid Class,Compound Name,CAS ID,Formula,Mass,Ion Species,Theo mz,ppm Error,Abs ppm Error,Score,Sum Comp,Num Constit,Constit,Constit Abund
44,5.670,,,,807.5024,554385,-1,Negative,Phosphatidylinositol,PI 16:0_16:1,,C41H77O13P,808.5102,(M-H)-,807.5029,-0.6,0.6,97.72,PI 32:1,4,PI 16:0/16:1,39.3
45,9.329,,,,700.5281,526198,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_18:1,,C39H76NO7P,701.5359,(M-H)-,700.5287,-0.8,0.8,97.69,EtherPE 34:2e,1,EtherPE 16:1e/18:1,100.0
46,7.234,,,,802.5599,519513,-1,Negative,Phosphatidylcholine,PC 16:1_18:1,,C42H80NO8P,757.5622,(M+CHO2)-,802.5604,-0.6,0.6,97.43,PC 34:2,5,PC 16:1/18:1,65.9
47,10.395,,,,859.6907,507941,-1,Negative,Sphingomyelin,SM d18:1_24:0,,C47H95N2O6P,814.6928,(M+CHO2)-,859.6910,-0.3,0.3,97.31,SM d42:1,1,SM d18:1/24:0,100.0
48,7.385,,,,802.5599,493279,-1,Negative,Phosphatidylcholine,PC 16:0_18:2,,C42H80NO8P,757.5622,(M+CHO2)-,802.5604,-0.5,0.5,96.69,PC 34:2,2,PC 16:0/18:2,59.6
49,5.799,,,,833.5179,485021,-1,Negative,Phosphatidylinositol,PI 16:1_18:1,,C43H79O13P,834.5258,(M-H)-,833.5186,-0.8,0.8,97.65,PI 34:2,4,PI 16:1/18:1,44.0
50,7.164,,,,762.5075,478538,-1,Negative,Phosphatidylethanolamine,PE 18:1_20:5,,C43H74NO8P,763.5152,(M-H)-,762.5079,-0.5,0.5,90.40,PE 38:6,1,PE 18:1/20:5,100.0
51,10.196,,,,626.5473,457410,-1,Negative,,,,,627.5545,(M-H)-,,,,,,
52,6.066,,,,748.5128,450231,-1,Negative,Phosphatidylcholine,PC 14:0_16:1,,C38H74NO8P,703.5152,(M+CHO2)-,748.5134,-0.8,0.8,97.82,PC 30:1,3,PC 14:0/16:1,77.6
53,7.843,,,,764.5231,440704,-1,Negative,Phosphatidylethanolamine,PE 18:1_20:4,,C43H76NO8P,765.5309,(M-H)-,764.5236,-0.6,0.6,93.99,PE 38:5,1,PE 18:1/20:4,100.0
54,4.999,,,,865.5020,440671,-1,Negative,Phosphatidylglycerol,PG 22:6_22:6,,C50H75O10P,866.5098,(M-H)-,865.5025,-0.6,0.6,85.57,PG 44:12,1,PG 22:6/22:6,100.0
55,10.151,,,,857.6748,433456,-1,Negative,Sphingomyelin,SM d42:2,,C47H93N2O6P,812.6771,(M+CHO2)-,857.6753,-0.7,0.7,97.57,SM d42:2,40,,
56,8.677,,,,790.5386,413206,-1,Negative,Phosphatidylethanolamine,PE 18:0_22:6,,C45H78NO8P,791.5465,(M-H)-,790.5392,-0.8,0.8,91.19,PE 40:6,1,PE 18:0/22:6,100.0
57,5.647,,,,819.5175,409138,-1,Negative,Phosphatidylglycerol,PG 18:1_22:6,,C46H77O10P,820.5254,(M-H)-,819.5182,-0.8,0.8,92.07,PG 40:7,5,PG 18:1/22:6,54.0
58,9.236,,,,750.5437,395295,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_22:4,,C43H78NO7P,751.5516,(M-H)-,750.5443,-0.8,0.8,98.09,EtherPE 38:5e,1,EtherPE 16:1e/22:4,100.0
59,10.339,,,,872.6828,385651,-1,Negative,,,,,873.6901,(M-H)-,,,,,,
60,3.788,,,,303.2328,383024,-1,Negative,,,,,304.2401,(M-H)-,,,,,,
61,10.401,,,,856.6879,372719,-1,Negative,Hexosylceramide non-hydroxyfatty acid-sphingosine,HexCer_NS d18:1_24:0,,C48H93NO8,811.6901,(M+CHO2)-,856.6883,-0.4,0.4,92.61,HexCer_NS d42:1,1,HexCer_NS d18:1/24:0,100.0
62,9.751,,,,776.5593,369788,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_22:5,,C45H80NO7P,777.5672,(M-H)-,776.5600,-0.9,0.9,95.58,EtherPE 40:6e,2,EtherPE 18:1e/22:5,86.2
63,9.083,,,,790.5962,358169,-1,Negative,Ether-linked phosphatidylcholine,EtherPC 18:1e_16:0,,C42H84NO7P,745.5985,(M+CHO2)-,790.5967,-0.8,0.8,93.03,EtherPC 34:1e,4,EtherPC 18:1e/16:0,44.8
64,6.277,,,,774.5288,353137,-1,Negative,Phosphatidylcholine,PC 16:1_16:1,,C40H76NO8P,729.5309,(M+CHO2)-,774.5291,-0.3,0.3,97.14,PC 32:2,4,PC 16:1/16:1,49.9
65,9.351,,,,774.5437,342933,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_22:6,,C45H78NO7P,775.5516,(M-H)-,774.5443,-0.7,0.7,87.29,EtherPE 40:7e,2,EtherPE 18:1e/22:6,85.9
66,2.698,,,,339.1997,330291,-1,Negative,,,,,340.2069,(M-H)-,,,,,,
67,3.828,,,,698.2860,329624,-1,Negative,,,,,699.2932,(M-H)-,,,,,,
68,6.674,,,,760.5128,327087,-1,Negative,Phosphatidylserine,PS 34:1,,C40H76NO10P,761.5207,(M-H)-,760.5134,-0.8,0.8,78.52,PS 34:1,2,,
69,6.963,,,,786.5285,315250,-1,Negative,Phosphatidylserine,PS 18:0_18:2,,C42H78NO10P,787.5363,(M-H)-,786.5291,-0.7,0.7,85.91,PS 36:2,4,PS 18:0/18:2,42.6
70,10.344,,,,690.6036,312389,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d18:2_24:1,,C42H79NO3,645.6060,(M+CHO2)-,690.6042,-0.9,0.9,96.23,Cer_NS d42:3,9,Cer_NS d18:2/24:1,27.6
71,5.300,,,,580.3387,312226,-1,Negative,,,,,581.3460,(M-H)-,,,,,,
72,7.307,,,,826.5600,307448,-1,Negative,Phosphatidylcholine,PC 16:0_20:4,,C44H80NO8P,781.5622,(M+CHO2)-,826.5604,-0.5,0.5,96.87,PC 36:4,2,PC 16:0/20:4,80.1
73,6.603,,,,909.5492,305359,-1,Negative,Phosphatidylinositol,PI 18:0_22:6,,C49H83O13P,910.5571,(M-H)-,909.5499,-0.7,0.7,89.10,PI 40:6,1,PI 18:0/22:6,100.0
74,6.937,,,,810.5286,293344,-1,Negative,Phosphatidylserine,PS 18:0_20:4,,C44H78NO10P,811.5363,(M-H)-,810.5291,-0.6,0.6,84.35,PS 38:4,2,PS 18:0/20:4,70.2
75,5.871,,,,722.4972,292228,-1,Negative,Phosphatidylcholine,PC 14:0_14:0,,C36H72NO8P,677.4996,(M+CHO2)-,722.4978,-0.8,0.8,98.48,PC 28:0,2,PC 14:0/14:0,85.5
76,10.133,,,,831.6590,291524,-1,Negative,Sphingomyelin,SM d40:1,,C45H91N2O6P,786.6615,(M+CHO2)-,831.6597,-0.8,0.8,97.17,SM d40:1,29,,
77,7.201,,,,774.5297,290840,-1,Negative,,,,,775.5370,(M-H)-,,,,,,
78,2.972,,,,540.3302,286853,-1,Negative,Lysophophatidylcholine,LPC 16:0/0:0,,C24H50NO7P,495.3325,(M+CHO2)-,540.3307,-0.9,0.9,97.80,LPC 16:0,1,LPC 16:0,100.0
79,0.553,,,,146.9661,278997,-1,Negative,,,,,147.9734,(M-H)-,,,,,,
80,1.584,,,,431.1836,277789,-1,Negative,,,,,432.1909,(M-H)-,,,,,,
81,3.691,,,,568.3615,271780,-1,Negative,Lysophophatidylcholine,LPC 18:0/0:0,,C26H54NO7P,523.3638,(M+CHO2)-,568.3620,-0.9,0.9,98.30,LPC 18:0,1,LPC 18:0,100.0
82,3.779,,,,480.3092,263210,-1,Negative,Lysophosphatidylethanolamine,LPE 18:0,,C23H48NO7P,481.3168,(M-H)-,480.3096,-0.8,0.8,98.42,LPE 18:0,1,LPE 18:0,100.0
83,2.268,,,,293.1790,262674,-1,Negative,,,,,294.1862,(M-H)-,,,,,,
84,7.898,,,,775.5489,261108,-1,Negative,Phosphatidylglycerol,PG 18:0_18:1,,C42H81O10P,776.5567,(M-H)-,775.5495,-0.7,0.7,70.28,PG 36:1,1,PG 18:0/18:1,100.0
85,7.169,,,,774.5306,257961,-1,Negative,,,,,775.5379,(M-H)-,,,,,,
86,8.789,,,,599.4998,254722,-1,Negative,,,,,600.5071,(M-H)-,,,,,,
87,10.148,,,,728.5594,253310,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_18:1,,C41H80NO7P,729.5672,(M-H)-,728.5600,-0.8,0.8,92.29,EtherPE 36:2e,3,EtherPE 18:1e/18:1,75.0
88,3.639,,,,327.2328,252520,-1,Negative,,,,,328.2401,(M-H)-,,,,,,
89,6.412,,,,773.5331,251401,-1,Negative,,,,,774.5404,(M-H)-,,,,,,
90,4.313,,,,281.2484,241603,-1,Negative,Free fatty acid,FA 18:1,,C18H34O2,282.2559,(M-H)-,281.2486,-0.8,0.8,98.33,FA 18:1,1,FA 18:1,100.0
91,10.664,,,,711.6252,240911,-1,Negative,,,,,712.6325,(M-H)-,,,,,,
92,8.544,,,,854.5911,234082,-1,Negative,Phosphatidylcholine,PC 18:0_20:4,,C46H84NO8P,809.5935,(M+CHO2)-,854.5917,-0.7,0.7,96.03,PC 38:4,3,PC 18:0/20:4,71.6
93,7.641,,,,738.5074,233207,-1,Negative,Phosphatidylethanolamine,PE 16:0_20:4,,C41H74NO8P,739.5152,(M-H)-,738.5079,-0.7,0.7,95.31,PE 36:4,1,PE 16:0/20:4,100.0
94,9.412,,,,768.5543,230402,-1,Negative,Phosphatidylethanolamine,PE 18:0_20:3,,C43H80NO8P,769.5622,(M-H)-,768.5549,-0.8,0.8,95.42,PE 38:3,1,PE 18:0/20:3,100.0
95,1.567,,,,265.1477,229300,-1,Negative,,,,,266.1550,(M-H)-,,,,,,
96,6.334,,,,809.5179,226421,-1,Negative,Phosphatidylinositol,PI 14:0_18:0,,C41H79O13P,810.5258,(M-H)-,809.5186,-0.8,0.8,96.72,PI 32:0,2,PI 14:0/18:0,55.1
97,10.196,,,,599.5282,225778,-1,Negative,,,,,600.5355,(M-H)-,,,,,,
98,0.724,,,,242.1760,224322,-1,Negative,,,,,243.1832,(M-H)-,,,,,,
99,5.971,,,,745.5496,224258,-1,Negative,Sphingomyelin,SM d18:2_16:0,,C39H77N2O6P,700.5519,(M+CHO2)-,745.5501,-0.7,0.7,92.06,SM d34:2,1,SM d18:2/16:0,100.0
100,9.005,,,,742.5387,222739,-1,Negative,Phosphatidylethanolamine,PE 18:0_18:2,,C41H78NO8P,743.5465,(M-H)-,742.5392,-0.8,0.8,94.89,PE 36:2,2,PE 18:0/18:2,74.7
101,5.109,,,,841.5020,221193,-1,Negative,Phosphatidylglycerol,PG 20:4_22:6,,C48H75O10P,842.5098,(M-H)-,841.5025,-0.6,0.6,91.27,PG 42:10,2,PG 20:4/22:6,82.8
102,9.037,,,,792.5543,221021,-1,Negative,Phosphatidylethanolamine,PE 18:0_22:5,,C45H80NO8P,793.5622,(M-H)-,792.5549,-0.7,0.7,93.79,PE 40:5,3,PE 18:0/22:5,66.8
103,10.066,,,,792.6117,219354,-1,Negative,Ether-linked phosphatidylcholine,EtherPC 18:0e_16:0,,C42H86NO7P,747.6142,(M+CHO2)-,792.6124,-0.8,0.8,91.32,EtherPC 34:0e,2,EtherPC 18:0e/16:0,72.9
104,7.156,,,,836.5440,219122,-1,Negative,Phosphatidylserine,PS 18:0_22:5,,C46H80NO10P,837.5520,(M-H)-,836.5447,-0.8,0.8,82.59,PS 40:5,2,PS 18:0/22:5,60.8
105,10.485,,,,683.5939,218444,-1,Negative,,,,,684.6012,(M-H)-,,,,,,
106,7.473,,,,887.5649,217701,-1,Negative,Phosphatidylinositol,PI 18:0_20:3,,C47H85O13P,888.5728,(M-H)-,887.5655,-0.6,0.6,97.43,PI 38:3,1,PI 18:0/20:3,100.0
107,10.232,,,,828.6565,216989,-1,Negative,Hexosylceramide non-hydroxyfatty acid-sphingosine,HexCer_NS d40:1,,C46H89NO8,783.6588,(M+CHO2)-,828.6570,-0.6,0.6,90.08,HexCer_NS d40:1,2,,
108,5.765,,,,719.5340,215062,-1,Negative,Sphingomyelin,SM d16:1_16:0,,C37H75N2O6P,674.5363,(M+CHO2)-,719.5345,-0.7,0.7,96.23,SM d32:1,1,SM d16:1/16:0,100.0
109,7.205,,,,911.5650,214780,-1,Negative,Phosphatidylinositol,PI 18:0_22:5,,C49H85O13P,912.5728,(M-H)-,911.5655,-0.5,0.5,96.84,PI 40:5,1,PI 18:0/22:5,100.0
110,7.474,,,,852.5755,213785,-1,Negative,Phosphatidylcholine,PC 18:1_20:4,,C46H82NO8P,807.5778,(M+CHO2)-,852.5760,-0.6,0.6,96.91,PC 38:5,2,PC 18:1/20:4,67.8
111,7.172,,,,738.5075,213454,-1,Negative,Phosphatidylethanolamine,PE 18:1_18:3,,C41H74NO8P,739.5152,(M-H)-,738.5079,-0.6,0.6,94.11,PE 36:4,2,PE 18:1/18:3,56.6
112,10.666,,,,684.6061,213387,-1,Negative,,,,,685.6134,(M-H)-,,,,,,
113,6.809,,,,747.5178,210490,-1,Negative,,,,,748.5251,(M-H)-,,,,,,
114,7.604,,,,714.5073,207922,-1,Negative,Phosphatidylethanolamine,PE 16:1_18:1,,C39H74NO8P,715.5152,(M-H)-,714.5079,-0.8,0.8,98.66,PE 34:2,1,PE 16:1/18:1,100.0
115,9.860,,,,794.5700,207704,-1,Negative,Phosphatidylethanolamine,PE 18:0_22:4,,C45H82NO8P,795.5778,(M-H)-,794.5705,-0.6,0.6,94.92,PE 40:4,3,PE 18:0/22:4,77.6
116,4.731,,,,369.3007,205216,-1,Negative,,,,,370.3080,(M-H)-,,,,,,
117,9.488,,,,598.5160,204937,-1,Negative,,,,,599.5233,(M-H)-,,,,,,
118,10.238,,,,854.6722,204606,-1,Negative,,,,,855.6794,(M-H)-,,,,,,
119,9.310,,,,806.5910,204259,-1,Negative,Phosphatidylcholine,PC 16:0_18:0,,C42H84NO8P,761.5935,(M+CHO2)-,806.5917,-0.8,0.8,93.51,PC 34:0,1,PC 16:0/18:0,100.0
120,4.166,,,,451.2912,203220,-1,Negative,,,,,452.2985,(M-H)-,,,,,,
121,1.332,,,,207.1390,198863,-1,Negative,,,,,208.1463,(M-H)-,,,,,,
122,10.006,,,,770.5699,198314,-1,Negative,Phosphatidylethanolamine,PE 18:1_20:1,,C43H82NO8P,771.5778,(M-H)-,770.5705,-0.8,0.8,93.22,PE 38:2,1,PE 18:1/20:1,100.0
123,10.018,,,,761.5780,198252,-1,Negative,,,,,762.5852,(M-H)-,,,,,,
124,12.736,,,,112.9856,194484,-1,Negative,,,,,113.9929,(M-H)-,,,,,,
125,1.582,,,,421.1550,194197,-1,Negative,,,,,422.1623,(M-H)-,,,,,,
126,7.174,,,,773.5334,193771,-1,Negative,,,,,774.5407,(M-H)-,,,,,,
127,4.145,,,,360.1926,191580,-1,Negative,,,,,361.1998,(M-H)-,,,,,,
128,4.178,,,,473.3056,189510,-1,Negative,,,,,474.3129,(M-H)-,,,,,,
129,1.658,,,,297.1528,186025,-1,Negative,,,,,298.1601,(M-H)-,,,,,,
130,10.493,,,,682.5906,183808,-1,Negative,,,,,683.5978,(M-H)-,,,,,,
131,6.169,,,,859.5336,180148,-1,Negative,Phosphatidylinositol,PI 16:0_20:3,,C45H81O13P,860.5415,(M-H)-,859.5342,-0.7,0.7,96.46,PI 36:3,1,PI 16:0/20:3,100.0
132,5.310,,,,843.5176,179986,-1,Negative,Phosphatidylglycerol,PG 20:4_22:5,,C48H77O10P,844.5254,(M-H)-,843.5182,-0.6,0.6,86.49,PG 42:9,3,PG 20:4/22:5,55.7
133,7.626,,,,790.5587,178910,-1,Negative,Phosphatidylcholine,PC 16:0_17:1,,C41H80NO8P,745.5622,(M+CHO2)-,790.5604,-2.1,2.1,94.68,PC 33:1,7,PC 16:0/17:1,51.5
134,7.574,,,,828.5753,176889,-1,Negative,Phosphatidylcholine,PC 18:1_18:2,,C44H82NO8P,783.5778,(M+CHO2)-,828.5760,-0.9,0.9,96.43,PC 36:3,2,PC 18:1/18:2,77.3
135,8.113,,,,764.5230,176689,-1,Negative,Phosphatidylethanolamine,PE 18:0_20:5,,C43H76NO8P,765.5309,(M-H)-,764.5236,-0.8,0.8,92.57,PE 38:5,1,PE 18:0/20:5,100.0
136,4.166,,,,511.4728,174991,-1,Negative,,,,,512.4801,(M-H)-,,,,,,
137,10.326,,,,664.5880,174334,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d40:2,,C40H77NO3,619.5903,(M+CHO2)-,664.5885,-0.8,0.8,92.95,Cer_NS d40:2,4,,
138,5.714,,,,881.5179,173914,-1,Negative,Phosphatidylinositol,PI 16:0_22:6,,C47H79O13P,882.5258,(M-H)-,881.5186,-0.8,0.8,95.08,PI 38:6,1,PI 16:0/22:6,100.0
139,1.328,,,,219.1027,173200,-1,Negative,,,,,220.1099,(M-H)-,,,,,,
140,7.522,,,,913.5806,171532,-1,Negative,Phosphatidylinositol,PI 18:0_22:4,,C49H87O13P,914.5884,(M-H)-,913.5812,-0.6,0.6,97.21,PI 40:4,2,PI 18:0/22:4,62.4
141,5.310,,,,451.2913,171131,-1,Negative,,,,,452.2986,(M-H)-,,,,,,
142,4.929,,,,567.5354,170842,-1,Negative,,,,,568.5426,(M-H)-,,,,,,
143,8.217,,,,772.5281,170634,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:2e_22:6,,C45H76NO7P,773.5359,(M-H)-,772.5287,-0.7,0.7,93.69,EtherPE 40:8e,1,EtherPE 18:2e/22:6,100.0
144,7.164,,,,786.5285,170633,-1,Negative,Phosphatidylserine,PS 18:0_18:2,,C42H78NO10P,787.5363,(M-H)-,786.5291,-0.7,0.7,80.39,PS 36:2,4,PS 18:0/18:2,42.7
145,2.619,,,,1072.6923,168615,-1,Negative,,,,,1073.6996,(M-H)-,,,,,,
146,10.573,,,,680.6193,168480,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d18:1_23:0,,C41H81NO3,635.6216,(M+CHO2)-,680.6198,-0.8,0.8,94.50,Cer_NS d41:1,3,Cer_NS d18:1/23:0,59.3
147,3.767,,,,564.3437,168181,-1,Negative,,,,,565.3510,(M-H)-,,,,,,
148,9.510,,,,726.5437,167859,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:2e_18:1,,C41H78NO7P,727.5516,(M-H)-,726.5443,-0.8,0.8,98.70,EtherPE 36:3e,1,EtherPE 18:2e/18:1,100.0
149,3.415,,,,436.2831,167589,-1,Negative,,,,,437.2904,(M-H)-,,,,,,
150,4.930,,,,451.2914,165202,-1,Negative,,,,,452.2986,(M-H)-,,,,,,
151,9.719,,,,858.6223,164951,-1,Negative,Phosphatidylcholine,PC 18:1_20:1,,C46H88NO8P,813.6248,(M+CHO2)-,858.6230,-0.7,0.7,94.44,PC 38:2,2,PC 18:1/20:1,68.8
152,10.114,,,,778.5751,161985,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_22:4,,C45H82NO7P,779.5829,(M-H)-,778.5756,-0.7,0.7,90.45,EtherPE 40:5e,4,EtherPE 18:1e/22:4,66.8
153,10.408,,,,654.5787,161193,-1,Negative,,,,,655.5860,(M-H)-,,,,,,
154,8.790,,,,572.4810,161028,-1,Negative,,,,,573.4882,(M-H)-,,,,,,
